,dt,bid_count,position_count,cash_value,positions_value,total_value
323,2020-12-18,1,13,12911.443835544556,125511.93351745605,138423.3773530006
324,2020-12-21,1,14,4221.298553562134,134031.89430236816,138253.1928559303
325,2020-12-22,0,14,4221.298553562134,132994.3416595459,137215.64021310804
326,2020-12-23,0,14,4221.298553562134,133445.57075500488,137666.86930856702
327,2020-12-24,1,15,2351.896435642212,135476.98211669922,137828.87855234143
328,2020-12-28,0,15,2351.896435642212,135402.472114563,137754.3685502052
329,2020-12-29,0,15,2351.896435642212,135191.65687561035,137543.55331125256
330,2020-12-30,2,14,11015.783935642212,126610.81867218018,137626.6026078224
331,2020-12-31,0,14,11015.783935642212,127676.76448822021,138692.54842386243
332,2021-01-04,0,14,11015.783935642212,125658.07704925537,136673.8609848976
333,2021-01-05,1,13,24899.120370578734,112513.9726638794,137413.0930344581
334,2021-01-06,1,14,21013.388955783812,118855.17101287842,139868.55996866222
335,2021-01-07,0,14,21013.388955783812,119391.07131958008,140404.46027536388
336,2021-01-08,0,14,21013.388955783812,119212.38307952881,140225.7720353126
337,2021-01-11,0,14,21013.388955783812,119768.82648468018,140782.21544046397
338,2021-01-12,1,14,21013.388955783812,120667.92182922363,141681.31078500743
339,2021-01-13,0,14,21013.388955783812,121811.55471801758,142824.94367380138
340,2021-01-14,0,14,21013.388955783812,123405.83667755127,144419.22563333507
341,2021-01-15,2,14,17811.27114267346,125488.57746124268,143299.84860391612
342,2021-01-19,0,14,17811.27114267346,125945.80726623535,143757.0784089088
343,2021-01-20,1,13,30460.46581735608,113425.94585418701,143886.4116715431
344,2021-01-21,1,14,17909.301226901975,125296.4241027832,143205.72532968517
345,2021-01-22,0,14,17909.301226901975,124412.30354309082,142321.6047699928
346,2021-01-25,1,13,27820.65750894543,113726.52320861816,141547.1807175636
347,2021-01-26,0,13,27820.65750894543,112254.57420349121,140075.23171243665
348,2021-01-27,1,14,25049.855397510495,112189.89505767822,137239.7504551887
349,2021-01-28,0,14,25049.855397510495,113473.54125976562,138523.3966572761
350,2021-01-29,0,14,25049.855397510495,111085.64205169678,136135.49744920727
351,2021-02-01,0,14,25049.855397510495,111883.6389541626,136933.4943516731
352,2021-02-02,0,14,25049.855397510495,113607.94467926025,138657.80007677074
353,2021-02-03,1,15,5817.727071094483,133244.37408447266,139062.10115556713
354,2021-02-04,0,15,5817.727071094483,136082.67059326172,141900.3976643562
355,2021-02-05,1,14,21116.23286638257,121820.47328948975,142936.70615587232
356,2021-02-08,0,14,21116.23286638257,122630.58223724365,143746.81510362623
357,2021-02-09,1,15,14093.575296497314,129057.47299194336,143151.04828844068
358,2021-02-10,1,14,22175.477092456786,121197.96161651611,143373.43870897288
359,2021-02-11,0,14,22175.477092456786,120682.18841552734,142857.66550798411
360,2021-02-12,1,15,17675.22869157788,126963.21086883545,144638.43956041333
361,2021-02-16,0,15,17675.22869157788,126966.60842895508,144641.83712053296
362,2021-02-17,0,15,17675.22869157788,127123.78902435303,144799.0177159309
363,2021-02-18,1,15,17675.22869157788,125907.83977508545,143583.06846666333
364,2021-02-19,0,15,17675.22869157788,126139.81952667236,143815.04821825025
365,2021-02-22,0,15,17675.22869157788,127050.61054229736,144725.83923387525
366,2021-02-23,0,15,17675.22869157788,127410.77270507812,145086.001396656
367,2021-02-24,1,16,13282.714478778806,134434.44747924805,147717.16195802685
368,2021-02-25,1,15,33188.01909608838,112050.9838104248,145239.00290651317
369,2021-02-26,0,15,33188.01909608838,110827.27241516113,144015.2915112495
